race,sex,workclass,age,education_num,hours_per_week,capital_gain
White,Female,Self-Emp-Not-Inc,51.0,12.0,99.0,0
White,Male,Private,21.0,9.0,40.0,0
White,Female,Private,36.0,7.0,40.0,0
White,Female,Private,29.0,12.0,40.0,0
White,Female,Private,48.0,6.0,48.0,0
White,Male,Private,48.0,9.0,40.0,0
White,Male,Private,55.0,9.0,40.0,13550
White,Male,Private,45.0,14.0,40.0,0
White,Male,State-Gov,20.0,12.0,30.0,0
White,Male,Self-Emp-Not-Inc,42.0,13.0,21.0,0
White,Male,Private,34.0,10.0,50.0,0
White,Male,Private,24.0,13.0,50.0,0
White,Male,Private,37.0,9.0,40.0,0
White,Male,Self-Emp-Not-Inc,63.0,9.0,45.0,0
White,Female,Private,23.0,10.0,30.0,0
White,Female,Private,28.0,5.0,35.0,0
White,Female,Private,36.0,9.0,30.0,0
Black,Female,Local-Gov,53.0,14.0,40.0,0
Black,Female,Federal-Gov,66.0,11.0,40.0,3273
Amer-Indian-Eskimo,Female,Local-Gov,28.0,9.0,35.0,0
Asian-Pac-Islander,Male,Private,33.0,14.0,55.0,0
White,Female,Private,23.0,9.0,15.0,8614
White,Male,Self-Emp-Not-Inc,54.0,11.0,16.0,0
White,Male,Private,44.0,9.0,55.0,0
White,Male,Private,51.0,9.0,40.0,0
White,Male,Private,22.0,10.0,30.0,0
White,Female,Private,22.0,13.0,30.0,0
White,Male,Private,35.0,13.0,40.0,0
White,Male,Private,53.0,9.0,40.0,0
White,Female,Private,47.0,2.0,15.0,0
White,Male,Private,17.0,6.0,24.0,0
White,Male,Private,37.0,12.0,80.0,6849
White,Male,Private,36.0,15.0,55.0,0
White,Male,Private,31.0,12.0,40.0,0
White,Male,Private,20.0,9.0,45.0,0
White,Male,Private,35.0,14.0,55.0,0
White,Male,Private,52.0,9.0,40.0,0
White,Male,Private,46.0,9.0,40.0,0
White,Male,Private,25.0,10.0,45.0,0
White,Female,Private,36.0,5.0,40.0,0
Other,Male,Private,52.0,2.0,50.0,0
White,Male,State-Gov,47.0,10.0,38.0,0
White,Male,Private,31.0,10.0,50.0,15024
Black,Female,Private,23.0,10.0,38.0,0
White,Male,Private,52.0,9.0,40.0,3325
White,Male,Private,24.0,9.0,40.0,0
White,Male,Private,34.0,9.0,44.0,0
White,Male,Private,49.0,13.0,50.0,0
White,Male,Private,35.0,12.0,40.0,0
White,Male,Private,66.0,9.0,50.0,0
White,Male,Private,23.0,9.0,60.0,0
White,Male,State-Gov,36.0,14.0,40.0,0
White,Male,Private,43.0,10.0,40.0,0
White,Male,Private,32.0,13.0,50.0,99999
Black,Male,Private,63.0,5.0,40.0,0
White,Female,Private,34.0,7.0,65.0,0
White,Female,Private,35.0,9.0,48.0,0
White,unknown,Private,39.0,13.0,60.0,0
White,Male,Private,26.0,9.0,40.0,0
Black,Male,Private,56.0,10.0,40.0,0
Black,Male,Private,27.0,9.0,40.0,0
White,Male,Private,24.0,9.0,37.0,0
White,Female,Private,25.0,6.0,35.0,0
White,Male,State-Gov,21.0,10.0,40.0,0
White,Male,Private,64.0,9.0,45.0,0
Asian-Pac-Islander,Male,Private,22.0,10.0,35.0,0
White,Female,Local-Gov,49.0,7.0,60.0,0
White,Female,Private,17.0,6.0,6.0,0
White,Male,Private,18.0,9.0,30.0,0
White,Female,Private,44.0,13.0,40.0,0
White,Male,Private,39.0,10.0,50.0,0
White,Female,Private,36.0,9.0,50.0,0
White,Female,Private,41.0,14.0,10.0,7688
White,Female,Private,33.0,9.0,40.0,0
White,Male,Private,31.0,15.0,70.0,0
White,Male,Self-Emp-Inc,46.0,13.0,60.0,0
Black,Female,Private,55.0,9.0,40.0,0
White,Male,Private,55.0,9.0,15.0,0
White,Male,Private,41.0,10.0,15.0,0
White,Male,Private,39.0,9.0,45.0,0
White,Male,Private,22.0,10.0,40.0,0
White,Male,Private,39.0,9.0,54.0,0
Asian-Pac-Islander,Male,Private,30.0,9.0,52.0,0
White,Male,Federal-Gov,47.0,10.0,40.0,0
White,Male,Local-Gov,64.0,9.0,99.0,0
Black,Female,State-Gov,38.0,9.0,40.0,0
White,Male,Private,31.0,4.0,40.0,0
White,Male,Private,60.0,9.0,25.0,0
White,Female,Local-Gov,51.0,12.0,40.0,0
White,Female,Private,56.0,5.0,40.0,0
White,Female,Private,24.0,9.0,45.0,0
White,Male,Federal-Gov,49.0,13.0,40.0,7298
Asian-Pac-Islander,Male,Local-Gov,24.0,13.0,40.0,0
White,Male,Private,27.0,10.0,35.0,0
White,Male,Without-Pay,62.0,12.0,50.0,0
White,Male,Local-Gov,36.0,10.0,40.0,0
White,Male,Private,49.0,10.0,40.0,0
White,Male,Private,33.0,14.0,45.0,0
White,Male,Private,43.0,14.0,55.0,0
White,Male,Private,43.0,10.0,50.0,0
White,Male,Private,35.0,9.0,60.0,0
Black,Female,State-Gov,66.0,9.0,35.0,0
White,Male,Private,33.0,13.0,50.0,15024
White,Female,Private,22.0,10.0,11.0,0
White,Male,Private,28.0,13.0,40.0,0
White,Male,Private,34.0,13.0,40.0,0
White,Male,Private,19.0,10.0,30.0,0
Black,Female,Private,36.0,7.0,12.0,0
White,Male,Private,20.0,10.0,16.0,0
White,Male,Private,62.0,9.0,50.0,0
White,Male,State-Gov,47.0,14.0,38.0,0
White,Female,Private,48.0,9.0,16.0,0
Black,Female,Federal-Gov,50.0,13.0,40.0,0
White,unknown,Private,25.0,4.0,60.0,0
White,Male,Private,40.0,9.0,40.0,0
White,Male,Private,27.0,9.0,60.0,0
White,Male,Private,26.0,9.0,45.0,0
White,Male,Private,31.0,9.0,40.0,15024
White,Female,Private,40.0,13.0,55.0,0
Black,Male,Private,19.0,9.0,35.0,0
White,Female,Self-Emp-Inc,18.0,10.0,20.0,0
White,Female,Private,35.0,8.0,30.0,0
Black,Male,Private,26.0,9.0,40.0,0
White,Male,Private,50.0,12.0,45.0,0
White,Female,Local-Gov,60.0,6.0,40.0,0
White,Female,Private,18.0,8.0,45.0,0
Black,Male,Private,19.0,9.0,40.0,0
White,Female,Private,17.0,7.0,18.0,0
White,Male,Self-Emp-Not-Inc,38.0,9.0,80.0,3464
White,Female,Private,52.0,5.0,25.0,0
Black,Male,Private,69.0,7.0,45.0,0
White,Male,State-Gov,51.0,11.0,40.0,0
White,Female,Private,18.0,9.0,20.0,0
Black,Female,Private,25.0,13.0,40.0,0
White,Male,Private,33.0,5.0,40.0,0
White,Female,Private,28.0,13.0,40.0,0
Black,Female,Private,20.0,9.0,40.0,0
White,Male,Self-Emp-Inc,42.0,15.0,60.0,0
White,Male,Private,44.0,14.0,40.0,0
White,Male,Private,62.0,13.0,60.0,0
Black,Male,Private,48.0,6.0,40.0,0
White,Male,Private,21.0,7.0,40.0,0
White,Male,Private,60.0,10.0,40.0,3103
White,Female,Local-Gov,47.0,13.0,50.0,0
White,Male,Private,31.0,14.0,55.0,0
White,Male,Private,36.0,10.0,40.0,0
White,Female,Local-Gov,32.0,13.0,35.0,0
White,Male,Private,19.0,5.0,35.0,0
White,Male,Private,26.0,13.0,40.0,0
White,Male,Private,77.0,9.0,35.0,0
White,Male,Private,34.0,10.0,20.0,0
White,Male,Private,30.0,9.0,73.0,0
Other,Male,Self-Emp-Inc,34.0,13.0,60.0,0
White,Female,Private,54.0,10.0,45.0,0
White,Female,Private,27.0,9.0,42.0,0
White,Male,Private,39.0,11.0,50.0,0
White,Male,Private,25.0,13.0,40.0,0
White,Male,Federal-Gov,63.0,10.0,48.0,0
Black,Female,Private,30.0,8.0,20.0,0
Black,Male,Private,38.0,10.0,40.0,0
White,Female,Private,41.0,10.0,40.0,0
Black,Male,Private,19.0,9.0,10.0,0
White,Male,Private,36.0,9.0,25.0,0
White,Female,Private,18.0,7.0,12.0,0
Black,Male,Federal-Gov,60.0,5.0,40.0,0
White,Male,Private,22.0,9.0,55.0,0
White,Female,Private,23.0,13.0,20.0,0
White,Female,Federal-Gov,74.0,10.0,18.0,0
White,unknown,Private,50.0,2.0,40.0,0
White,Female,Private,40.0,11.0,36.0,0
